Distance_(µm),Gray_Value
0.000000,3.7917
0.018580,5.9445
0.037160,6.1625
0.055740,7.7274
0.074320,6.9427
0.092900,4.3780
0.111480,1.0057
0.130060,0.0494
0.148640,0.0000
0.167220,0.6492
0.185800,1.0072
0.204380,1.3298
0.222960,3.3297
0.241540,3.2318
0.260120,3.8898
0.278700,3.9130
0.297280,1.2921
0.315860,0.0260
0.334440,1.5397
0.353020,10.5602
0.371600,30.1663
0.390180,47.8366
0.408760,35.9357
0.427340,32.5139
0.445920,37.2918
0.464500,39.0025
0.483080,31.5584
0.501660,19.3441
0.520240,10.1875
0.538820,7.0467
0.557400,6.4808
0.575980,4.0919
0.594560,3.4034
0.613140,1.3233
0.631720,1.1386
0.650300,2.8966
0.668880,2.6700
0.687460,2.1715
0.706040,4.4664
0.724620,3.1739
0.743200,0.5691
0.761780,0.7244
0.780360,2.1654
0.798940,1.8813
0.817520,0.7005
0.836100,1.3916
0.854680,2.5000
