Distance_(µm),Gray_Value
0.00000,0.000
0.01858,1.342
0.03716,1.554
0.05574,1.880
0.07432,4.259
0.09290,4.490
0.11148,2.611
0.13006,0.624
0.14864,0.000
0.16722,0.000
0.18580,0.000
0.20438,0.000
0.22296,0.000
0.24154,0.000
0.26012,0.000
0.27870,0.000
0.29728,0.067
0.31586,0.000
0.33444,0.000
0.35302,0.000
0.37160,0.080
0.39018,1.256
0.40876,3.009
0.42734,1.932
0.44592,0.210
0.46450,0.000
0.48308,0.000
0.50166,0.750
0.52024,2.209
0.53882,2.138
0.55740,0.735
0.57598,0.000
0.59456,0.000
0.61314,0.682
0.63172,1.468
0.65030,1.761
0.66888,1.333
0.68746,1.239
0.70604,3.303
0.72462,6.256
0.74320,4.978
0.76178,6.424
0.78036,8.278
0.79894,3.236
0.81752,1.143
0.83610,5.028
0.85468,8.807
0.87326,14.445
0.89184,35.679
0.91042,77.367
0.92900,107.342
0.94758,91.321
0.96616,51.370
0.98474,24.402
1.00332,18.000
1.02190,31.623
1.04048,59.774
1.05906,92.463
1.07764,115.872
1.09622,115.301
1.11480,94.469
1.13338,58.746
1.15196,20.667
1.17054,9.306
1.18912,4.890
1.20770,0.775
1.22628,1.809
1.24486,2.461
1.26344,0.978
1.28202,0.108
1.30060,0.562
1.31918,1.840
1.33776,2.222
1.35634,0.858
1.37492,0.000
1.39350,0.000
1.41208,0.000
1.43066,0.790
1.44924,2.623
1.46782,2.640
1.48640,0.912
1.50498,0.000
1.52356,0.000
1.54214,0.000
1.56072,0.000
1.57930,0.000
1.59788,0.000
1.61646,0.000
1.63504,0.857
1.65362,1.183
1.67220,1.778
1.69078,3.516
1.70936,2.192
1.72794,1.522
1.74652,3.052
1.76510,2.826
1.78368,1.333
1.80226,0.364
1.82084,0.000
1.83942,0.000
1.85800,0.000
1.87658,0.372
1.89516,0.994
1.91374,0.852
1.93232,0.151
1.95090,0.000
1.96948,0.147
1.98806,1.356
2.00664,2.000
