frame,drift_[px],X1,Y1,X2,Y2,X3,Y3
,,,,2540.365,-0.66664,2540.365,2.04819
,,,,2560.360,-0.67210,2560.360,2.06403
,,,,2580.355,-0.67753,2580.355,2.07975
,,,,2600.350,-0.68291,2600.350,2.09536
,,,,2620.345,-0.68825,2620.345,2.11086
,,,,2640.340,-0.69354,2640.340,2.12624
,,,,2660.335,-0.69878,2660.335,2.14150
,,,,2680.330,-0.70398,2680.330,2.15665
,,,,2700.325,-0.70912,2700.325,2.17168
,,,,2720.320,-0.71420,2720.320,2.18659
,,,,2740.315,-0.71923,2740.315,2.20137
,,,,2760.310,-0.72419,2760.310,2.21604
,,,,2780.305,-0.72910,2780.305,2.23059
,,,,2800.300,-0.73396,2800.300,2.24502
,,,,2820.295,-0.73875,2820.295,2.25934
,,,,2840.290,-0.74350,2840.290,2.27355
,,,,2860.285,-0.74820,2860.285,2.28765
,,,,2880.280,-0.75284,2880.280,2.30165
,,,,2900.275,-0.75744,2900.275,2.31555
,,,,2920.270,-0.76199,2920.270,2.32935
,,,,2940.265,-0.76649,2940.265,2.34306
,,,,2960.260,-0.77095,2960.260,2.35667
,,,,2980.255,-0.77536,2980.255,2.37020
,,,,3000.250,-0.77973,3000.250,2.38364
,,,,3020.245,-0.78407,3020.245,2.39700
,,,,3040.240,-0.78836,3040.240,2.41027
,,,,3060.235,-0.79262,3060.235,2.42347
,,,,3080.230,-0.79684,3080.230,2.43659
,,,,3100.225,-0.80102,3100.225,2.44965
,,,,3120.220,-0.80517,3120.220,2.46263
,,,,3140.215,-0.80930,3140.215,2.47555
,,,,3160.210,-0.81338,3160.210,2.48840
,,,,3180.205,-0.81745,3180.205,2.50120
,,,,3200.200,-0.82148,3200.200,2.51393
,,,,3220.195,-0.82549,3220.195,2.52662
,,,,3240.190,-0.82947,3240.190,2.53925
,,,,3260.185,-0.83343,3260.185,2.55183
,,,,3280.180,-0.83736,3280.180,2.56437
,,,,3300.175,-0.84128,3300.175,2.57686
,,,,3320.170,-0.84517,3320.170,2.58932
,,,,3340.165,-0.84905,3340.165,2.60174
,,,,3360.160,-0.85291,3360.160,2.61412
,,,,3380.155,-0.85676,3380.155,2.62647
,,,,3400.150,-0.86059,3400.150,2.63880
,,,,3420.145,-0.86442,3420.145,2.65110
,,,,3440.140,-0.86823,3440.140,2.66338
,,,,3460.135,-0.87203,3460.135,2.67564
,,,,3480.130,-0.87582,3480.130,2.68788
,,,,3500.125,-0.87961,3500.125,2.70010
,,,,3520.120,-0.88339,3520.120,2.71232
,,,,3540.115,-0.88716,3540.115,2.72453
,,,,3560.110,-0.89094,3560.110,2.73673
,,,,3580.105,-0.89471,3580.105,2.74894
,,,,3600.100,-0.89848,3600.100,2.76114
,,,,3620.095,-0.90226,3620.095,2.77334
,,,,3640.090,-0.90603,3640.090,2.78554
,,,,3660.085,-0.90981,3660.085,2.79774
,,,,3680.080,-0.91358,3680.080,2.80994
,,,,3700.075,-0.91735,3700.075,2.82215
,,,,3720.070,-0.92113,3720.070,2.83435
,,,,3740.065,-0.92490,3740.065,2.84655
,,,,3760.060,-0.92867,3760.060,2.85875
,,,,3780.055,-0.93245,3780.055,2.87095
,,,,3800.050,-0.93622,3800.050,2.88315
,,,,3820.045,-0.93999,3820.045,2.89536
,,,,3840.040,-0.94377,3840.040,2.90756
,,,,3860.035,-0.94754,3860.035,2.91976
,,,,3880.030,-0.95131,3880.030,2.93196
,,,,3900.025,-0.95509,3900.025,2.94416
,,,,3920.020,-0.95886,3920.020,2.95636
,,,,3940.015,-0.96264,3940.015,2.96857
,,,,3960.010,-0.96641,3960.010,2.98077
,,,,3980.005,-0.97018,3980.005,2.99297
