Distance_(µm),Gray_Value
0.00000,1.3889
0.01858,0.0000
0.03716,0.0356
0.05574,0.3130
0.07432,0.0000
0.09290,0.0000
0.11148,0.0000
0.13006,0.8097
0.14864,2.3811
0.16722,2.3100
0.18580,0.7627
0.20438,0.0000
0.22296,0.0000
0.24154,0.0000
0.26012,0.0000
0.27870,0.0000
0.29728,0.0000
0.31586,0.0000
0.33444,0.0000
0.35302,0.0000
0.37160,0.0000
0.39018,0.0000
0.40876,0.0000
0.42734,0.0000
0.44592,0.0000
0.46450,0.0000
0.48308,0.0000
0.50166,0.0000
0.52024,0.7058
0.53882,2.3475
0.55740,2.8278
0.57598,1.0280
0.59456,0.0000
0.61314,0.0000
0.63172,0.0000
0.65030,0.0000
0.66888,0.0000
0.68746,0.0000
0.70604,0.0000
0.72462,0.0000
0.74320,0.0000
0.76178,0.0000
0.78036,0.0000
0.79894,1.3218
0.81752,5.0396
0.83610,8.8764
0.85468,12.8033
0.87326,19.9194
0.89184,28.7167
0.91042,29.9670
0.92900,22.8167
0.94758,23.6548
0.96616,31.7874
0.98474,31.1354
1.00332,16.9765
1.02190,4.1416
1.04048,2.3392
1.05906,3.8971
1.07764,2.3553
1.09622,0.6980
1.11480,0.0125
1.13338,0.0000
1.15196,0.0000
1.17054,0.0000
1.18912,0.0000
1.20770,0.0000
1.22628,0.0000
1.24486,0.0000
1.26344,0.0000
1.28202,0.0000
1.30060,0.0000
1.31918,0.0000
1.33776,0.0000
1.35634,0.0000
1.37492,0.0000
1.39350,0.1684
1.41208,0.0488
1.43066,0.0000
1.44924,0.0000
1.46782,0.0000
1.48640,0.0000
1.50498,0.0000
1.52356,0.0000
1.54214,0.0000
1.56072,0.0000
1.57930,0.0000
1.59788,0.0000
1.61646,0.0000
1.63504,0.0000
1.65362,0.0000
1.67220,0.0000
1.69078,0.0000
1.70936,0.0000
1.72794,0.0000
1.74652,0.0000
1.76510,0.0000
1.78368,0.0000
1.80226,0.0000
1.82084,0.0000
1.83942,0.0000
1.85800,0.0000
1.87658,0.0000
