Distance_(µm),Gray_Value
0.00000,3.750
0.01858,1.908
0.03716,0.091
0.05574,1.776
0.07432,3.618
0.09290,2.146
0.11148,0.515
0.13006,0.419
0.14864,0.000
0.16722,0.000
0.18580,0.000
0.20438,0.000
0.22296,1.462
0.24154,3.005
0.26012,1.797
0.27870,0.419
0.29728,0.000
0.31586,0.315
0.33444,2.561
0.35302,6.000
0.37160,3.355
0.39018,0.670
0.40876,0.000
0.42734,1.671
0.44592,4.418
0.46450,4.008
0.48308,5.487
0.50166,8.676
0.52024,3.882
0.53882,1.323
0.55740,4.477
0.57598,9.225
0.59456,15.596
0.61314,34.523
0.63172,69.003
0.65030,103.429
0.66888,101.874
0.68746,69.330
0.70604,41.000
0.72462,28.264
0.74320,36.752
0.76178,68.762
0.78036,120.350
0.79894,174.629
0.81752,210.825
0.83610,197.977
0.85468,153.231
0.87326,77.031
0.89184,27.855
0.91042,9.054
0.92900,3.702
0.94758,2.093
0.96616,2.979
0.98474,2.570
1.00332,0.355
1.02190,1.168
1.04048,1.789
1.05906,0.938
1.07764,0.090
1.09622,0.000
1.11480,0.000
1.13338,0.000
1.15196,0.000
1.17054,0.000
1.18912,0.000
1.20770,0.433
1.22628,0.737
1.24486,1.783
1.26344,4.175
1.28202,2.763
1.30060,0.118
1.31918,0.000
1.33776,0.000
1.35634,0.000
1.37492,0.000
1.39350,0.000
1.41208,0.000
