Distance_(µm),Gray_Value
0.000000,1.2188
0.018580,0.2682
0.037160,0.0000
0.055740,0.0000
0.074320,0.0000
0.092900,0.0000
0.111480,1.6350
0.130060,3.2965
0.148640,2.2869
0.167220,0.5525
0.185800,0.0000
0.204380,0.0000
0.222960,0.0000
0.241540,0.0000
0.260120,0.5455
0.278700,4.3697
0.297280,7.9600
0.315860,6.5425
0.334440,2.3117
0.353020,2.3737
0.371600,8.1600
0.390180,16.1595
0.408760,29.7707
0.427340,37.8577
0.445920,34.5076
0.464500,26.8281
0.483080,31.0380
0.501660,31.3631
0.520240,20.8478
0.538820,11.7920
0.557400,8.6381
0.575980,12.6150
0.594560,14.4050
0.613140,12.1288
0.631720,7.5219
0.650300,3.4747
0.668880,0.8892
0.687460,0.0566
0.706040,0.0000
0.724620,0.0000
0.743200,1.6762
0.761780,3.8003
0.780360,3.3972
0.798940,1.1475
0.817520,0.1003
0.836100,0.3503
0.854680,1.4412
0.873260,3.7248
0.891840,7.8955
0.910420,5.2625
0.929000,1.6094
