frame,drift_[px],X1,Y1,X2,Y2,X3,Y3
,,,,2540.365,-0.71162,2540.365,2.08374
,,,,2560.360,-0.71685,2560.360,2.09934
,,,,2580.355,-0.72203,2580.355,2.11482
,,,,2600.350,-0.72715,2600.350,2.13019
,,,,2620.345,-0.73221,2620.345,2.14544
,,,,2640.340,-0.73722,2640.340,2.16058
,,,,2660.335,-0.74216,2660.335,2.17559
,,,,2680.330,-0.74705,2680.330,2.19049
,,,,2700.325,-0.75187,2700.325,2.20526
,,,,2720.320,-0.75663,2720.320,2.21992
,,,,2740.315,-0.76133,2740.315,2.23446
,,,,2760.310,-0.76596,2760.310,2.24887
,,,,2780.305,-0.77053,2780.305,2.26317
,,,,2800.300,-0.77503,2800.300,2.27735
,,,,2820.295,-0.77948,2820.295,2.29142
,,,,2840.290,-0.78387,2840.290,2.30538
,,,,2860.285,-0.78820,2860.285,2.31923
,,,,2880.280,-0.79247,2880.280,2.33298
,,,,2900.275,-0.79669,2900.275,2.34663
,,,,2920.270,-0.80085,2920.270,2.36017
,,,,2940.265,-0.80497,2940.265,2.37363
,,,,2960.260,-0.80903,2960.260,2.38699
,,,,2980.255,-0.81305,2980.255,2.40026
,,,,3000.250,-0.81702,3000.250,2.41345
,,,,3020.245,-0.82095,3020.245,2.42655
,,,,3040.240,-0.82483,3040.240,2.43957
,,,,3060.235,-0.82867,3060.235,2.45251
,,,,3080.230,-0.83247,3080.230,2.46538
,,,,3100.225,-0.83623,3100.225,2.47818
,,,,3120.220,-0.83996,3120.220,2.49091
,,,,3140.215,-0.84365,3140.215,2.50357
,,,,3160.210,-0.84730,3160.210,2.51616
,,,,3180.205,-0.85092,3180.205,2.52870
,,,,3200.200,-0.85451,3200.200,2.54118
,,,,3220.195,-0.85808,3220.195,2.55360
,,,,3240.190,-0.86161,3240.190,2.56597
,,,,3260.185,-0.86512,3260.185,2.57830
,,,,3280.180,-0.86860,3280.180,2.59057
,,,,3300.175,-0.87206,3300.175,2.60281
,,,,3320.170,-0.87550,3320.170,2.61500
,,,,3340.165,-0.87891,3340.165,2.62716
,,,,3360.160,-0.88231,3360.160,2.63928
,,,,3380.155,-0.88570,3380.155,2.65137
,,,,3400.150,-0.88906,3400.150,2.66343
,,,,3420.145,-0.89241,3420.145,2.67547
,,,,3440.140,-0.89576,3440.140,2.68748
,,,,3460.135,-0.89908,3460.135,2.69947
,,,,3480.130,-0.90241,3480.130,2.71145
,,,,3500.125,-0.90572,3500.125,2.72341
,,,,3520.120,-0.90902,3520.120,2.73536
,,,,3540.115,-0.91233,3540.115,2.74730
,,,,3560.110,-0.91563,3560.110,2.75923
,,,,3580.105,-0.91892,3580.105,2.77117
,,,,3600.100,-0.92222,3600.100,2.78310
,,,,3620.095,-0.92552,3620.095,2.79503
,,,,3640.090,-0.92881,3640.090,2.80696
,,,,3660.085,-0.93211,3660.085,2.81890
,,,,3680.080,-0.93541,3680.080,2.83083
,,,,3700.075,-0.93871,3700.075,2.84276
,,,,3720.070,-0.94200,3720.070,2.85469
,,,,3740.065,-0.94530,3740.065,2.86662
,,,,3760.060,-0.94860,3760.060,2.87856
,,,,3780.055,-0.95190,3780.055,2.89049
,,,,3800.050,-0.95519,3800.050,2.90242
,,,,3820.045,-0.95849,3820.045,2.91435
,,,,3840.040,-0.96179,3840.040,2.92629
,,,,3860.035,-0.96508,3860.035,2.93822
,,,,3880.030,-0.96838,3880.030,2.95015
,,,,3900.025,-0.97168,3900.025,2.96208
,,,,3920.020,-0.97498,3920.020,2.97401
,,,,3940.015,-0.97827,3940.015,2.98595
,,,,3960.010,-0.98157,3960.010,2.99788
,,,,3980.005,-0.98487,3980.005,3.00981
