Distance_(m),Gray_Value
0.00000,2.0000
0.01858,0.9595
0.03716,0.0000
0.05574,1.8784
0.07432,3.6757
0.09290,1.7973
0.11148,0.0000
0.13006,1.7162
0.14864,3.3514
0.16722,1.6351
0.18580,0.0000
0.20438,0.5541
0.22296,1.0270
0.24154,0.4730
0.26012,0.0000
0.27870,0.0000
0.29728,0.0000
0.31586,0.0000
0.33444,0.0000
0.35302,0.0000
0.37160,0.0000
0.39018,0.0000
0.40876,0.0000
0.42734,0.0000
0.44592,0.0000
0.46450,1.0135
0.48308,2.1081
0.50166,2.0000
0.52024,1.7297
0.53882,2.0000
0.55740,3.2162
0.57598,3.0000
0.59456,8.2973
0.61314,24.6757
0.63172,42.6486
0.65030,45.1892
0.66888,34.8378
0.68746,30.0000
0.70604,32.1622
0.72462,34.4865
0.74320,24.1351
0.76178,14.7027
0.78036,13.1892
0.79894,5.2568
0.81752,0.0000
0.83610,0.0000
0.85468,0.0000
0.87326,0.0000
0.89184,0.0000
0.91042,0.0135
0.92900,0.0000
0.94758,0.0000
0.96616,0.0000
0.98474,0.0000
1.00332,0.0000
1.02190,0.0000
1.04048,0.0000
1.05906,0.0000
1.07764,1.6486
1.09622,3.6081
1.11480,2.4324
1.13338,0.4730
1.15196,0.0000
1.17054,0.0000
1.18912,0.0000
1.20770,0.0000
1.22628,1.3243
1.24486,2.5676
1.26344,1.2432
1.28202,0.0000
1.30060,0.0000
1.31918,0.0000
1.33776,0.0000
1.35634,0.0000
1.37492,2.0000
