Distance_(µm),Gray_Value
0.000000,0.000
0.018580,0.000
0.037160,0.000
0.055740,0.000
0.074320,0.000
0.092900,0.336
0.111480,0.324
0.130060,0.073
0.148640,0.289
0.167220,1.743
0.185800,4.530
0.204380,6.994
0.222960,7.729
0.241540,10.111
0.260120,13.133
0.278700,19.914
0.297280,41.476
0.315860,98.556
0.334440,219.151
0.353020,287.761
0.371600,182.752
0.390180,76.503
0.408760,104.645
0.427340,354.381
0.445920,755.780
0.464500,916.513
0.483080,638.395
0.501660,226.080
0.520240,43.902
0.538820,4.608
0.557400,0.000
0.575980,0.000
0.594560,0.000
0.613140,0.000
0.631720,0.000
0.650300,0.000
0.668880,0.000
0.687460,0.000
0.706040,0.000
0.724620,0.000
0.743200,0.000
0.761780,0.000
0.780360,0.000
0.798940,0.000
0.817520,0.000
0.836100,0.000
