Distance_(µm),Gray_Value
0.00000,0.500
0.01858,3.412
0.03716,4.694
0.05574,2.017
0.07432,0.985
0.09290,2.208
0.11148,2.397
0.13006,1.092
0.14864,1.809
0.16722,2.341
0.18580,0.910
0.20438,0.231
0.22296,0.420
0.24154,1.402
0.26012,3.193
0.27870,2.051
0.29728,0.157
0.31586,0.000
0.33444,0.118
0.35302,0.838
0.37160,1.738
0.39018,2.733
0.40876,2.939
0.42734,1.750
0.44592,0.454
0.46450,0.000
0.48308,0.000
0.50166,0.000
0.52024,0.000
0.53882,0.154
0.55740,2.384
0.57598,13.518
0.59456,35.573
0.61314,52.767
0.63172,52.303
0.65030,40.131
0.66888,30.220
0.68746,27.020
0.70604,51.035
0.72462,118.844
0.74320,166.969
0.76178,114.646
0.78036,43.135
0.79894,28.588
0.81752,21.130
0.83610,11.822
0.85468,5.196
0.87326,4.854
0.89184,5.428
0.91042,4.518
0.92900,2.849
0.94758,1.268
0.96616,0.993
0.98474,3.002
1.00332,5.433
1.02190,8.342
1.04048,10.356
1.05906,6.134
1.07764,1.212
1.09622,0.161
1.11480,0.053
1.13338,0.701
1.15196,2.726
1.17054,3.067
1.18912,0.893
1.20770,1.185
1.22628,2.849
1.24486,3.096
1.26344,1.040
1.28202,0.000
1.30060,0.294
1.31918,0.615
1.33776,0.434
1.35634,1.250
