Distance_(µm),Gray_Value
0.00000,2.500
0.01858,3.811
0.03716,4.739
0.05574,4.677
0.07432,2.759
0.09290,0.812
0.11148,0.093
0.13006,0.000
0.14864,0.000
0.16722,0.034
0.18580,0.081
0.20438,0.000
0.22296,0.602
0.24154,2.046
0.26012,2.446
0.27870,1.048
0.29728,0.000
0.31586,0.011
0.33444,0.766
0.35302,3.900
0.37160,7.643
0.39018,8.207
0.40876,9.878
0.42734,9.288
0.44592,6.888
0.46450,4.302
0.48308,3.242
0.50166,8.567
0.52024,18.864
0.53882,36.888
0.55740,72.857
0.57598,115.843
0.59456,165.312
0.61314,231.133
0.63172,257.444
0.65030,233.859
0.66888,192.522
0.68746,126.665
0.70604,91.591
0.72462,150.208
0.74320,224.734
0.76178,193.492
0.78036,125.508
0.79894,62.727
0.81752,24.214
0.83610,6.627
0.85468,1.175
0.87326,1.981
0.89184,3.297
0.91042,3.112
0.92900,1.968
0.94758,0.592
0.96616,0.000
0.98474,0.494
1.00332,1.868
1.02190,3.061
1.04048,1.450
1.05906,0.000
1.07764,0.113
1.09622,0.072
1.11480,0.000
1.13338,1.037
1.15196,1.751
1.17054,1.054
1.18912,0.156
1.20770,0.000
1.22628,0.000
1.24486,0.000
1.26344,0.000
1.28202,0.000
1.30060,0.000
1.31918,0.000
1.33776,0.000
1.35634,0.000
1.37492,0.689
1.39350,1.671
1.41208,1.785
1.43066,0.500
