Distance_(µm),Gray_Value
0.00000,2.750
0.01858,3.190
0.03716,1.380
0.05574,6.810E-4
0.07432,0.471
0.09290,1.656
0.11148,1.362
0.13006,0.275
0.14864,0.160
0.16722,0.690
0.18580,0.417
0.20438,1.508
0.22296,3.367
0.24154,2.975
0.26012,1.146
0.27870,2.194
0.29728,3.225
0.31586,2.349
0.33444,1.534
0.35302,0.512
0.37160,0.000
0.39018,0.242
0.40876,0.521
0.42734,1.520
0.44592,2.446
0.46450,3.078
0.48308,2.759
0.50166,1.033
0.52024,0.088
0.53882,0.000
0.55740,0.000
0.57598,0.000
0.59456,0.180
0.61314,1.269
0.63172,6.413
0.65030,24.640
0.66888,51.418
0.68746,63.115
0.70604,51.350
0.72462,39.967
0.74320,30.785
0.76178,36.694
0.78036,95.607
0.79894,195.783
0.81752,226.608
0.83610,124.243
0.85468,50.039
0.87326,28.931
0.89184,17.532
0.91042,9.400
0.92900,7.335
0.94758,8.730
0.96616,7.516
0.98474,5.480
1.00332,4.663
1.02190,4.816
1.04048,4.008
1.05906,2.677
1.07764,3.044
1.09622,8.225
1.11480,8.514
1.13338,5.396
1.15196,3.819
1.17054,2.864
1.18912,0.873
1.20770,0.361
1.22628,1.404
1.24486,1.365
1.26344,2.089
1.28202,3.899
1.30060,2.299
1.31918,1.551
1.33776,4.253
1.35634,6.105
1.37492,4.415
1.39350,3.049
1.41208,3.002
1.43066,2.171
1.44924,1.335
1.46782,0.500
