Distance_(µm),Gray_Value
0.00000,0.000
0.01858,0.000
0.03716,0.000
0.05574,0.000
0.07432,0.000
0.09290,0.000
0.11148,0.000
0.13006,1.600
0.14864,3.686
0.16722,2.229
0.18580,0.143
0.20438,0.000
0.22296,0.000
0.24154,0.000
0.26012,0.000
0.27870,0.000
0.29728,0.000
0.31586,0.000
0.33444,0.000
0.35302,0.000
0.37160,0.000
0.39018,0.000
0.40876,0.000
0.42734,0.000
0.44592,0.000
0.46450,3.714
0.48308,9.686
0.50166,80.943
0.52024,670.800
0.53882,1782.429
0.55740,2016.571
0.57598,1058.257
0.59456,345.400
0.61314,192.914
0.63172,100.629
0.65030,71.000
0.66888,299.943
0.68746,921.200
0.70604,1336.257
0.72462,907.371
0.74320,262.286
0.76178,24.000
0.78036,0.000
0.79894,0.000
0.81752,0.000
0.83610,0.000
0.85468,0.000
0.87326,0.000
0.89184,1.114
0.91042,2.400
0.92900,1.286
0.94758,0.000
0.96616,0.000
0.98474,0.000
1.00332,0.000
1.02190,0.000
1.04048,0.000
1.05906,0.000
1.07764,0.000
1.09622,0.057
1.11480,0.429
1.13338,0.686
1.15196,0.314
1.17054,0.000
1.18912,0.000
1.20770,0.000
1.22628,0.000
1.24486,0.000
1.26344,0.000
1.28202,0.000
1.30060,0.000
