Distance_(µm),Gray_Value
0.000000,1.528
0.018580,0.349
0.037160,0.000
0.055740,0.437
0.074320,1.167
0.092900,1.578
0.111480,2.739
0.130060,3.178
0.148640,3.363
0.167220,1.869
0.185800,0.208
0.204380,0.000
0.222960,0.000
0.241540,0.000
0.260120,0.000
0.278700,0.761
0.297280,3.896
0.315860,18.722
0.334440,45.279
0.353020,61.327
0.371600,54.335
0.390180,43.161
0.408760,33.556
0.427340,32.722
0.445920,69.173
0.464500,171.744
0.483080,257.135
0.501660,152.973
0.520240,69.164
0.538820,33.910
0.557400,20.569
0.575980,12.434
0.594560,8.211
0.613140,8.564
0.631720,9.118
0.650300,5.871
0.668880,4.556
0.687460,5.509
0.706040,5.237
0.724620,4.242
0.743200,3.231
0.761780,4.892
0.780360,7.431
0.798940,7.891
0.817520,4.911
0.836100,3.307
0.854680,1.361
