Distance_(µm),Gray_Value
0.000000,0.3125
0.018580,2.1300
0.037160,5.4450
0.055740,5.2250
0.074320,3.3575
0.092900,3.0000
0.111480,2.1700
0.130060,2.2000
0.148640,3.4933
0.167220,2.4150
0.185800,2.6250
0.204380,12.4192
0.222960,35.6475
0.241540,48.3783
0.260120,47.4667
0.278700,48.0000
0.297280,61.1375
0.315860,62.6750
0.334440,45.6750
0.353020,24.2392
0.371600,13.6042
0.390180,9.1400
0.408760,6.8233
0.427340,4.7642
0.445920,2.5775
0.464500,2.2083
0.483080,2.1183
0.501660,0.9975
0.520240,0.0000
0.538820,0.0000
0.557400,0.0000
