frame,drift_[px],X1,Y1,X2,Y2,X3,Y3
361.500,0.000000,361.500,0.000000,1.000,0.076286,1.000,-0.001664
1104.000,-0.133393,1104.000,-0.016436,20.995,0.072055,20.995,-0.001572
1877.500,-0.190448,1877.500,-0.044269,40.990,0.067823,40.990,-0.001480
2686.500,-0.310284,2686.500,0.126125,60.985,0.063592,60.985,-0.001388
3552.000,-0.485802,3552.000,-0.020355,80.980,0.059361,80.980,-0.001295
,,,,100.975,0.055130,100.975,-0.001203
,,,,120.970,0.050899,120.970,-0.001111
,,,,140.965,0.046668,140.965,-0.001018
,,,,160.960,0.042436,160.960,-0.000926
,,,,180.955,0.038205,180.955,-0.000834
,,,,200.950,0.033974,200.950,-0.000741
,,,,220.945,0.029743,220.945,-0.000649
,,,,240.940,0.025512,240.940,-0.000557
,,,,260.935,0.021281,260.935,-0.000464
,,,,280.930,0.017049,280.930,-0.000372
,,,,300.925,0.012818,300.925,-0.000280
,,,,320.920,0.008587,320.920,-0.000187
,,,,340.915,0.004356,340.915,-0.000095
,,,,360.910,0.000125,360.910,-0.000003
,,,,380.905,-0.004106,380.905,0.000089
,,,,400.900,-0.008334,400.900,0.000179
,,,,420.895,-0.012556,420.895,0.000264
,,,,440.890,-0.016771,440.890,0.000342
,,,,460.885,-0.020974,460.885,0.000411
,,,,480.880,-0.025163,480.880,0.000469
,,,,500.875,-0.029336,500.875,0.000512
,,,,520.870,-0.033490,520.870,0.000539
,,,,540.865,-0.037621,540.865,0.000548
,,,,560.860,-0.041727,560.860,0.000536
,,,,580.855,-0.045806,580.855,0.000501
,,,,600.850,-0.049854,600.850,0.000440
,,,,620.845,-0.053869,620.845,0.000351
,,,,640.840,-0.057848,640.840,0.000232
,,,,660.835,-0.061788,660.835,0.000081
,,,,680.830,-0.065686,680.830,-0.000106
,,,,700.825,-0.069540,700.825,-0.000329
,,,,720.820,-0.073347,720.820,-0.000592
,,,,740.815,-0.077104,740.815,-0.000897
,,,,760.810,-0.080808,760.810,-0.001246
,,,,780.805,-0.084456,780.805,-0.001641
,,,,800.800,-0.088047,800.800,-0.002086
,,,,820.795,-0.091576,820.795,-0.002581
,,,,840.790,-0.095041,840.790,-0.003130
,,,,860.785,-0.098440,860.785,-0.003735
,,,,880.780,-0.101769,880.780,-0.004397
,,,,900.775,-0.105026,900.775,-0.005120
,,,,920.770,-0.108208,920.770,-0.005906
,,,,940.765,-0.111312,940.765,-0.006758
,,,,960.760,-0.114336,960.760,-0.007676
,,,,980.755,-0.117276,980.755,-0.008664
,,,,1000.750,-0.120130,1000.750,-0.009725
,,,,1020.745,-0.122896,1020.745,-0.010859
,,,,1040.740,-0.125570,1040.740,-0.012071
,,,,1060.735,-0.128149,1060.735,-0.013361
,,,,1080.730,-0.130631,1080.730,-0.014733
,,,,1100.725,-0.133013,1100.725,-0.016189
,,,,1120.720,-0.135293,1120.720,-0.017730
,,,,1140.715,-0.137474,1140.715,-0.019348
,,,,1160.710,-0.139560,1160.710,-0.021035
,,,,1180.705,-0.141555,1180.705,-0.022781
,,,,1200.700,-0.143466,1200.700,-0.024575
,,,,1220.695,-0.145295,1220.695,-0.026407
,,,,1240.690,-0.147049,1240.690,-0.028268
,,,,1260.685,-0.148731,1260.685,-0.030149
,,,,1280.680,-0.150346,1280.680,-0.032038
,,,,1300.675,-0.151899,1300.675,-0.033926
,,,,1320.670,-0.153394,1320.670,-0.035803
,,,,1340.665,-0.154836,1340.665,-0.037660
,,,,1360.660,-0.156230,1360.660,-0.039487
,,,,1380.655,-0.157580,1380.655,-0.041273
,,,,1400.650,-0.158892,1400.650,-0.043008
,,,,1420.645,-0.160169,1420.645,-0.044684
,,,,1440.640,-0.161416,1440.640,-0.046289
,,,,1460.635,-0.162638,1460.635,-0.047814
,,,,1480.630,-0.163839,1480.630,-0.049250
,,,,1500.625,-0.165025,1500.625,-0.050586
,,,,1520.620,-0.166200,1520.620,-0.051812
,,,,1540.615,-0.167368,1540.615,-0.052919
,,,,1560.610,-0.168534,1560.610,-0.053896
,,,,1580.605,-0.169703,1580.605,-0.054735
,,,,1600.600,-0.170879,1600.600,-0.055424
,,,,1620.595,-0.172067,1620.595,-0.055954
,,,,1640.590,-0.173272,1640.590,-0.056315
